학교,코드 번호,제목,Name,Strategic field,Keywords
Purdue University,PD-003,Development of a modular intelligent spatial safety platform based on PINNs and on-device AI,Chandra Nath,"Cybersecurity, AI, Advanced Robotics & Manufacturing","MechanicalㆍMaterials, Industrial/ General Machinery, Fire Safety Machinery"
Purdue University,PD-004,Development of AI-Based Process Recognition and Automation Technologies for Enhancing Quality Uniformity and Verifying Structural Performance of Pultruded Composite Prototypes,Eduardo Barocio,Advanced Robotics & Manufacturing,"Machinery and manufacturing, Manufacturing process automation, Process monitoring and quality control"
Purdue University,PD-005,"Application of AI Technologies to Enhance Transportation Efficiency and Durability of Hovercraft and Vessels, and Commercial Development of Ultra-Lightweight Composite PTM and Ship-Specific Containers",Huachao Mao,Aerospace/Marine,"Machinery and materials, Shipbuilding/Marine Systems Software, Ship Materials/Structural Technologies"
Purdue University,PD-006,AI-Based Crop Cultivation Guidance Solution Using Satellite Imagery Analysis,Melba Crawford,AI,"Information & Communication, Information & Communication, Service Platforms and Application Software, Software, Software Solutions, Service Platforms and Application Software "
Purdue University,PD-007,Generative AI–Based CAD System for Dental Prosthetics,Alejandra Magana,AI,"MechanicalㆍMaterials, Precision Manufacturing, Machinery, CAD/CAM-related Software"
Purdue University,PD-008,Development of Scanning-Free Stagnation Flow Spray Coater for Photoresist or Adhesive in a Semi-conductor Process,Doosan Back,Semiconductor/Display,"Machinery and materials, Semiconductor, Equipment, Deposition Equipment"
Purdue University,PD-009,Development of a Cloud and AI-Based Universal Non-Destructive Hyperspectral Quality Analysis Technology,Young L. Kim,"Advanced Bio, AI","Electrical Electronics, Measuring Instrument, Physical Quantity, Test/Analysis Instruments"
Purdue University,PD-010,Development of an Edge-Based AIoT Platform for Integrating Diverse Smart Devices and Creating Customized Automation Scenarios through Natural Language,Ali Shakouri,AI,"Information & Communication, Information & Communication, U-Computing, U-Computing Platforms and, Application Technologies, Home Network, Home, Network, applications and Service, Technologies"
Purdue University,PD-011,Integrated safety design combining potting-based thermal isolation and flame suppression to mitigate battery pack thermal runaway propagation,Vilas Pol,Secondary Battery,"ElectricalㆍElectronics, ElectricalㆍElectronics, Heavy Electrical Equipment, Energy Storage Devices, Batteries, Secondary Batteries"
Purdue University,PD-012,Development of an Integrated Manufacturing Process Combining Large-Area Aluminum Patterning with AI Monitoring and a High-Corrosion-Resistance Surface Treatment Process,John Sutherland,"Ai, Advanced Robotics & Manufacturing","Machinery and materials, Information and Communication / Artificial Intelligence, Precision manufacturing machinery, Cutting/processing machinery, Intelligent Manufacturing Systems, AI-based Process Control & Optimization"
Purdue University,PD-013,Development of an AI-Based Intelligent EOTS Maritime Surveillance System Integrating EO-IR and AIS,Vaneet Aggarwal,Aerospace/Marine,"MechanicalㆍMaterials, Information & Communication, Shipbuilding/, Marine Systems, Shipbuilding/Marine, System Software, Software, Software Solutions"
Purdue University,PD-014,Development of an AI-Enabled Semantic Edge for Vendor-Heterogeneous OT Data Interpretation - A Semantic Interoperability Framework for Agentic AI in Manufacturing Environments,Ragu Athinarayanan,Advanced Robotics & Manufacturing,"Information & Communication, Software, Software Solutions"
Purdue University,PD-015,Early Detection Technology for Neuro-Musculoskeletal Dysfunction Using Multi-Sensor-Based Smart Shoes for Gait and Balance Data Collection and AI-Based Analysis,Gaurav Nanda,Advanced Mobility,"Bio·Medical, Information & Communication, Medical Information &, Systems, Remote and Home Health, Care Devices, Embedded Software, Intelligent Interpretation, Systems"
Purdue University,PD-016,Development of an Explainable (XAI) Intelligent Quality Inspection System based on Multi-modal Sensing for Metal Forming and Welding Processes,Eui-Won Bae,Aerospace/Marine,"Machinery and materials, Machinery and materials, Casting/Welding, Other Casting/Welding, Shipbuilding/Marine systems, Ship Materials/Structural, Technologies"
Purdue University,PD-017,A technology that non-invasively detects battery internal defects utilizing an electromagnetic sensor array and a 2D imaging method with an image capture speed of less than 1sec,Byunghoo Jung,Semiconductor/Display,"Electrical Electronics, Battery, Manufacturing and Measurement/Evaluation Equipment"
Purdue University,PD-018,Physics-Informed AI and Digital Twin-Based Intelligent Manufacturing Technology for Forming Error Reduction in EV Hairpin Motor Production Equipment,John Sutherland,"Advanced Mobility, AI, Advanced Robotics & Manufacturing","Machinery and Materials, Precision Manufacturing, Machinery, Electrical/Chemical, Energy–Based, Processing Machines"
Purdue University,PD-019,A Physics-Informed Sim2Real Foundation Model for Autonomous Assembly,Jose Garcia-Bravo,Secondary Battery,"Mechanical ∙ Materials, Robotics/Automation, Machinery, Robot Control and, Intelligence Technologies"
Purdue University,PD-020,Development of an On-device AI GPS Tracker for Neutralizing Jamming and Spoofing Attacks in North American Logistics,John Sutherland,"Advanced Mobility, AI","Knowledge Services, MechanicalㆍMaterials, Distribution / Logistics /, Marketing Services, Intelligent Enterprise, Logistics Support, technology, Automobile / Rail Vehicles, Safety Improvement, Technologies"
Purdue University,PD-021,Development of a User-Friendly DLP Printer with an AI-Based Process-Condition Recommendation Add-on,Chi Hwan Lee,Advanced Robotics & Manufacturing,"MechanicalㆍMaterials, Knowledge Services, Precision Manufacturing, Machinery, Optical Energy–Based, Processing Machines, R&D / Engineering Services Production Process Modeling, / Simulation"
Purdue University,PD-022,Development of IEC Standard-based Add-on AI Edge Monitoring and Security Module for Heterogeneous Power Converters,Byunghoo Jung,"Semiconductor/Display, AI, Advanced Robotics & Manufacturing","Electrical Electronics, Heavy Electrical Equipment, Transmission/Distribution,, Protection and, Monitoring Devices"
Purdue University,PD-023,AI-Based Non-Contact Magnetic Sensing Technology for Remote Monitoring of Vessel Engine Start Batteries and EPIRB to Prevent Maritime Distress Accident,Byunghoo Jung,"Aerospace/Marine, AI, Next-gen Communication","Electrical.Electronics, Information & Communication, Batteries, Manufacturing and, Measurement/Evaluation, Equipment, Software, Software Solutions"
Purdue University,PD-024,Preventive diagnostic technology for nuclear generator coolant motor utilizing non-invasive online RLC load tracking and time-series-based diagnosis,Younghyun Kim,"Next-gen Nuclear Power, AI","Energy & Resources, Energy & Resources, Nuclear Power, Nuclear Plant Operation &, Maintenance, Transmission &, Distribution Systems, Power System Monitoring &, Operation Technologies"
Purdue University,PD-025,ERP-Integrated Autonomous Yard Operation Software for Trailer Auto Parking and Outbound Logistics,Martin Byung-Guk Jun,"AI, Advanced Robotics & Manufacturing","Robotics/Automation Machinery, Knowledge Services, Robot Control and, Intelligence, Technologies, Robotics/Automation, Machinery Software, Intelligent Enterprise, Logistics Support, Technologies, Distribution & Logistics, Application, Technologies"
Purdue University,PD-026,Autonomous Kingpin Coupling System with 3D Vision-Guided Robotic Arm for Heavy-Load Trailer Automation,Jose Garcia-Bravo,"Semiconductor/Display, Advanced Mobility","Machinery and materials, Machinery and materials, Automobile /, Rail Vehicles, Vehicle Intelligence, Technologies, Automobile /, Rail Vehicles, Low-Emission Vehicle, Technologies"
Purdue University,PD-027,AI-based Telematics Terminals and Integrated Vehicle Management Platform for Intelligent Mobility with Hybrid Connectivity and Carbon Reduction,Hua Cai,Advanced Mobility,"Information & Communication, Information & Communication, ITS / Telematics, Telematics Terminals, and Devices, ITS / Telematics, Telematics Application, Services"
Purdue University,PD-028,Non-Contact Upgrade of LS SWIR SDK for  Reliable Spectral Measurement at a Distance of ≥10 cm,Thomas Beechem,"Semiconductor/Display, AI, Advanced Robotics & Manufacturing","Electronics / Semiconductor Systems, AI / Data Processing, Optical & Sensor Systems, SWIR Spectral Sensing Modules, and Measurement Systems, Signal Processing &, Machine Learning, Distance-Robust Spectral, Calibration and, Classification"
Purdue University,PD-029,Safe and Efficient Enterprise AI Agentic Workflow Orchestration via Advanced Reinforcement Learning,Abolfazl Hashemi,"Cybersecurity, AI","Information & Communication, Software, Software Solutions"
Purdue University,PD-030,Physical AI-Driven Adaptive Prehabilitation System for Personalized Athletic Performance Optimization with Wearable Exosuit Integration,Jan-Anders Mansson,"Advanced Bio, AI, Advanced Robotics & Manufacturing","Bio • Medical, Mechanical • Materials, Functional Restoration /, Assistive & Welfare Devices, Rehabilitation Training, Devices, Robotics / Automation, Machinerys, Robot Control and, Intelligence Technologies"
Purdue University,PD-031,Federated Terrain-Adaptive Learning & Control for 4WS Agricultural  Autonomous Mobile Robots,James V. Krogmeier,"Advanced Mobility, AI, Advanced Robotics & Manufacturing","Information & Communication, Mechanical · Materials, Software, Embedded Software, Robotics/Automation, Machinery, Robot Control and, Intelligence Technologies"
Purdue University,PD-032,Development of an Integrated Multi-Functional Nylon.Cotton Materials-to-Garment System for Next-Generation Military Uniforms,Wenzhuo Wu,Advanced Robotics & Manufacturing,"Chemicals, Fiber Manufacturing, Fiber Spinning "
Purdue University,PD-033,Development of a Conversational Agentic AI-based Sensor-Fusion Autonomous Optimization Intelligent Refrigerant Recovery System,Guang Lin,AI,"Machinery and Materials, Information & Communications Technology (ICT), Thermal & Fluid Process, Equipment, Refrigerant Recovery System       Artificial Intelligence, Agentic AI for Autonomous, Process Optimization"
Purdue University,PD-034,Development of an AI- and LLM-Based Multi-Sensor Fusion Intelligent Transport and Conversational Location-Tracking System for Industrial High-Pressure Gas Cylinders,Xingyu Li,AI,Machinery and materials Information and Communication Technology Smart Manufacturing Industrial Material Handling and Tracking Systems Artificial Intelligence / Data Intelligence Multi-Modal Sensor Fusion AI and LLM-based Decision Systems
Purdue University,PD-035,Development and Commercialization of a ±25 Kmin Class Rapid Thermal Cycling Chamber,Davide Ziviani,"Semiconductor/Display, Advanced Mobility","ElectricalㆍElectronics, ElectricalㆍElectronics, Measuring Instruments, Environmental Measuring, Instruments, Batteries, Manufacturing and, Measurement/Evaluation, Equipment"
Purdue University,PD-036,Process Digital Twin–Enabled Compression Molding of Composite Impellers with Integrated Blade Structures,Garam Kim,Aerospace/Marine,"Machinery and materials, Smart Manufacturing, Precision manufacturing, machinery, Composite molding systems, Digital manufacturing, Process simulation / digital, twin"
Purdue University,PD-037,Process Digital Twin for Vacuum-Integrity–Qualified Additively Manufactured Composite Tooling for Autoclave Applications,Eduardo Barocio,Aerospace/Marine,"Machinery and materials, Smart Manufacturing, Precision manufacturing, machinery, Additive manufacturing, equipment, Digital manufacturing, Process simulation / digital, twin"
Purdue University,PD-038,OOA-Based Modular Tooling and Integrated Manufacturing Systems for Large Monolithic Composite Structures in Future Mobility Applications,Garam Kim,Advanced Robotics & Manufacturing,"Mechanical · Materials, Mechanical · Materials, Materials Processing, Technologies, Composite Materials, Aerospace Systems, Aerospace Composite, Structures"
Purdue University,PD-039,Physics-Grounded Real2Sim Farm Simulator for Crop Manipulation  with 3D Gaussian Splatting and Policy.Motion Planning Deployment,Yan Gu,"AI, Advanced Robotics & Manufacturing","Machinery and materials, Robotics/Automation, Machinery, Robot Control and, Intelligence Technologies"
Purdue University,PD-040,Development of a Portable Laser-Induced Breakdown Spectroscopy (LIBS) System for Real-Time Material Identification in Battery Recycling Operations,Paul Robinson,"Secondary Battery, AI, Advanced Robotics & Manufacturing","Mechanical/Materials, Electrical/Electronics, Metal Materials, Metal Refining/Recovery, Technologies, Measuring Instruments, Optical Measuring, Instruments"
Purdue University,PD-041,Development of AI-Based Hybrid Fault Prediction System Using Acoustic and Electronic Operational Data for Agricultural Machinery,Luz Sotelo,"AI, Advanced Robotics & Manufacturing","Mechanical ∙ Materials, Industrial / General, Machinery, Agricultural Machinery"
Purdue University,PD-042,Development of an AI speaker device and sLLM based services,Xingyu Li,AI,"AI, Healthcare service platform, Silver Care Service Using, sLLM AI and AI Speakers"
Purdue University,PD-043,Development of an Intelligent Multi-Joint Robotic Welding System for Mold Repair Using 3D Vision Sensors,Martin Byung-Guk Jun,"AI, Advanced Robotics & Manufacturing","Machinery and materials, Artificial Intelligence (AI), Precision manufacturing, machinery, Welding /, Joining Machinery, Computer Vision /, Image Processing, Object Recognition /, Feature Extraction"
Purdue University,PD-044,Multimodal AI-based State Estimation and Anomaly Detection for Autonomous Manufacturing System,Michael Sealy,"Semiconductor/Display, AI, Advanced Robotics & Manufacturing","Machinery and Materials, Information and Communication Technology (ICT), Additive Manufacturing, Equipment, Binder Jet Additive, Manufacturing Systems, Additive Manufacturing, Equipment, Binder Jet Additive, Manufacturing Systems"
Purdue University,PD-045,Development of AI-based Autonomous Adaptive Welding Robot System Using Multi-Sensor for Harsh Optical Environments and Weld Joint Geometry Variations in Shipbuilding,Ragu Athinarayanan,"Aerospace/Marine, AI",Mechanical∙Materials Mechanical∙Materials Shipbuilding/Marine Systems Ship Production Systems/Construction Methods Robot/Automation  Machinery Robot Control and Intelligenc
Purdue University,PD-046,Overcoming Commercialization-Stage Technical Challenges of High-Performance Perovskite Emitters through an AI-Based Optimization System,Shubhra Bansal,"Semiconductor/Display, AI","Machinery and Materials, Information & Communication, Advanced Functional, Materials, Display Emissive Materials, Artificial Intelligence, AI-based Materials Design &, Optimization"
Purdue University,PD-047,Ultra-Precision Hybrid Machining Technology for SiC-Based CMC and EBC.TBC-Coated Gas Turbine Vanes and Blades,Benxin Wu,"Aerospace/Marine, Advanced Robotics & Manufacturing","MechanicalㆍMaterials, Precision, Manufacturing, Machinery, Cutting Machine Tools"
Purdue University,PD-048,Development of Physical AI-based Nonlinear Error Compensation and Health Monitoring for Ultra-Precision Stages in EUV Inspection Systems,Ali Shakouri,Semiconductor/Display,"ElectricalᆞElectronics, Semiconductor Equipment, Measurement/Inspection, Equipment"
Purdue University,PD-049,"Development of a Low-Temperature, Pressure-Integrated in situ Battery Interface Characterization System",Sunghwan Lee,"Secondary Battery, Advanced Robotics & Manufacturing","Electrical ㆍElectronics, Electrical ㆍElectronics, Batteries, Manufacturing and, Measurement/, Evaluation, Measuring Instruments, Safety, Monitoring/Diagnosis, Control Instruments"
Purdue University,PD-050,Development of Ultra-Soft and Highly Conductive 3D Printing Resins for High-Performance Flexible Pressure Sensor Platforms,Sunghwan Lee,"Semiconductor/Display, Advanced Robotics & Manufacturing","Chemicals, ElectricalㆍElectronics, Polymeric materials, Special functional, materials technologies, Semiconductor devices and, systems, Sensor element"
Purdue University,PD-051,Development of AI-Based Design and Manufacturing Process Technologies for Alumina-Based Ballistic Materials Used in Wheeled Armored Vehicles,Sunghwan Lee,"Advanced Mobility, AI","Chemicals, MechanicalㆍMaterials, Ceramic Materials, Ceramic Manufacturing, Process Technologies, Plastic deformation / powder, Powder processing, technologies"
Purdue University,PD-052,AI-guided CVD polymer interphases for uniform lithium plating and interfacial stability in high-energy-density lithium metal batteries,Sunghwan Lee,"Secondary Battery, AI","ElectricalㆍElectronics, Chemicals, Batteries, Secondary Batteries /, Battery Materials, Polymeric Materials, Polymer Processing, Technologies"
Purdue University,PD-053,Power-signal monolithically integrated isolated gate driver for next-gen power semiconductors,Woongkul Lee,Semiconductor/Display,"Electrical / Electronics, Semiconductor Devices and, Systems, SoC"
Purdue University,PD-054,Safe and Swappable Secondary Battery Use for Emerging Grid Application with Modular Power Electronics,Woongkul Lee,Secondary Battery,"Electrical / Electronics, Batteries, Secondary batteries"
Purdue University,PD-055,Developing a Culturally Responsive Socially Assistive Robot for Emotional  Care of Adolescents in Multicultural Environments,Sooyeon Jeong,"AI, Next-gen Communication, Advanced Robotics & Manufacturing","Robot & Intelligent Systems, Robot & Intelligent Systems, Service Robots, Social Interaction Robots /, Emotional Care Robots, Service Robots, Social Interaction Robots /, Emotional Care Robots"
Purdue University,PD-056,Sensor-less Real-time 3D Sports Motion Tracking via Dual-Stage Depth Estimation on Single-View Broadcasting Video,Younghyun Kim,AI,"Knowledge Services, Information & Communication, Added Value, Broadcasting Media-, Related Technologies, Digital Content, Digital Content Production, and Distribution"
Purdue University,PD-057,Project AOS Collaborative Development of an Agentic Operating System and On-Device VLA Models for Next-Generation Autonomous Robotics,Shaoshuai Mou,Advanced Robotics & Manufacturing,"Digital Content Production and Distribution, Robotics/ Automation, Machinery, Robot Control and, Intelligence Technologies"
Purdue University,PD-058,Music-Aware Agentic AI Remix System and Reasoning-Based Evaluation Framework,Tae Hong Park,AI,"Information & Communication, Digital Content, Digital Content Production, and Distribution"
Purdue University,PD-059,Development of an sLLM-Based Autonomous SecOps Agent with Unified Cyber Defense Platform,Elisa Bertino,Cybersecurity,"Information & Communication, Information & Communication, Information Security, Network System, Security, Software, Software Solutions"
Purdue University,PD-060,Ontology-based Organizational AI Capability Diagnostic and Modular Learning Framework,Ale Magana,AI,"Knowledge Services, Human Resource, Competency Development, Services, Intelligent Learning Support, / Management, Technologies"
Purdue University,PD-061,Virtual Reality–Based Game-Oriented Ubiquitous Worship Learning Technology for Individuals with Developmental Disabilities,Robert Howard,AI,"Information and Communication, Digital Content, Visual Reality"
Purdue University,PD-062,Physics-Informed Inverse Estimation of Battery Module Health using Multiscale Digital Twins,Hosop Shin,Secondary Battery,"Electrical/Electronics, Batteries, Secondary Batteries"
Purdue University,PD-063,Surface-Modified Upcycling of Spent NMC Cathodes for Cobalt-Reduced Layered Oxides,Hosop Shin,Secondary Battery,"Electrical/Electronics, Batteries, Secondary Batteries"
Purdue University,PD-064,Physical-First Explainable AI for Public Document Compliance Across  Jurisdictions,Gaurav Nanda,AI,Information & Communication Knowledge Services Software Internet SW R&D / Engineering Services Testing / Inspection / Analysis Techniques
Fraunhofer,FH-001,AI-ML-Assisted Advanced Plant Cell–Based Bio-Manufacturing Platforms,Henrik Nausch,"Advanced Bio, AI","BioㆍMedical, BioㆍMedical, Bio-processes /, Bio-Equipment, Bio-process, Technologies, Industrial, Biotechnology, Bio-cosmetic, Materials"
Fraunhofer,FH-002,Advanced grooming solutions validated by canine in-vitro reporter skin models for sensitization,Anke Burger-Kentischer,Advanced Bio,"BioㆍMedical, BioㆍMedical, Industrial Biotechnology, Bio-Cosmetics / Materials,, Other Industrial, Biotechnology, Medical Bio, Other (veterinarian), Biopharmaceuticals /, Biomaterials"
Fraunhofer,FH-003,"Development, optimization and scale up of fermentation processes up to 10,000 L",Sandra Torkler,Advanced Bio,"Bio and Medical, Bio and Medical, Industrial, Biotechnology, Bio-plastics, Industrial, Biotechnology, Functional Food, Ingredients"
Fraunhofer,FH-004,Smart 3D GelMA-Based Functional Biomaterials with Broad Applicability and Industrial Scalability,Prof. Sahar Salehi-Müller,Advanced Bio,"BioㆍMedical, BioㆍMedical, Medical Bio, Bio - Biometerials, Industrial, Biotechnology, Functional Biomaterials"
Fraunhofer,FH-005,Tailored Cell-Based Assays and unique in vitro cell culture tool to support Korean biomedical innovation and medical device development,Dr. Juliane Spohn,Advanced Bio,"Bio ∙Medical, Bio ∙Medical, Medical Bio, Bio - Biomaterials, Bio-processes /, Bio-Equipment, Other Bio-process /, Technologies"
Fraunhofer,FH-006,Microfluidic lung-on-chip platform for pre-screening of inhalation toxicity focusing on pulmonary barrier penetration and direct tissue damage,Dr. Sylvia Wagner,Advanced Bio,"BioㆍMedical, Bio-processes / Bio-, Equipment, Bio-Analytical Instruments"
Fraunhofer,FH-007,Quantitative Phase Imaging Platform for Label Free CTC Analysis in Metastatic Breast Cancer,Dr. Alexander Bertz,Advanced Bio,"Bio & Medicine, Treatment and diagnosis, devices, Clinical chemistry and biology, analytic apparatus"
Fraunhofer,FH-008,"AI-assisted, sensor-based bioreactor system for quality-controlled production of 3D cell models",Thomas Velten,Advanced Bio,"BioㆍMedical, MechanicalㆍMaterials, Bio-processes / Bio-, Equipment, Bio-process, Technologies, Bio-process Equipment, Technologies, Bio-Analytical, Instruments, Robot/automation, machines, Automation-related, measuring/sensor, technology"
Fraunhofer,FH-009,Automated 3D hiPSC Liver Model Platform for High-Precision Toxicity Testing,Dr. Michael Gepp,Advanced Bio,"Bio Medical, Bio Medical, Bio-processes /, Bio-Equipment, Bio-process Technologies, Industrial, Biotechnology, Other Industrial, Biotechnology"
Fraunhofer,FH-010,Hybrid bioelectronic Platform for implant–wearable Exchange,Roman Ruff,Advanced Bio,"BioㆍMedical, BioㆍMedical, Therapeutic Devices, &, Diagnostic Devices, Bio-signal Measurement, / Diagnostic Devices, Functional, Restoration /, Assistive & Welfare, Devices, Physical, Function, Restoration Devices, Implants,, Daily, Living, Support, Devices and Systems, Mobility Support Devices"
Fraunhofer,FH-011,A technology based on frugal innovation principles that allows in-situ digital sensor integration in biomanufacturing processes,Dr. Frank Ihmig,Advanced Bio,"BioㆍMedical, ElectricalㆍElectronics, Bioprocesses /, Bioequipment, Bioprocess Equipment, Technologies, Electrical and Electronic, Components, Sensor Components"
Fraunhofer,FH-012,Multifunctional dual-release nanodiamond 3D-Ti-implants with programmable biological activity,apl. Prof. Dr.-Ing. Natalia Beshchasna  Email natalia.beshchasna@ikts.fraunhofer.de,Advanced Bio,"Bio ㆍ Medical, MechanicalㆍMaterials, Medical/ Bio, Bio/ Biomaterials, Surface Treatment, Surface Property Modification, Technologies"
Fraunhofer,FH-013,Additives derived from lignin for recyclates extending their service life,Dr. Kerstin Thiele,Advanced Bio,"Chemicals, Chemicals, Polymeric Materials, Polymer Recycling, Technologies, Fine Chemicals, Additives"
Fraunhofer,FH-014,Scale-Up of Chemical Transformations for Sustainable Application in Collaboration with Korean SMEs,Dr. Kerstin Thiele,Advanced Bio,"Knowledge Services, Chemicals, R&D /, Engineering Services, Testing / Inspection / Analysis, Techniques, Chemical, Processes, Process Equipment, Technologies"
Fraunhofer,FH-015,Advanced Separation Solutions for High-Purity Product Isolation on a pilot scale,Dr. Kerstin Thiele,Advanced Bio,"Knowledge Services, Chemicals, R&D /, Engineering Services, Testing / Inspection / Analysis, Techniques, Chemical, Processes, Process Equipment, Technologies"
Fraunhofer,FH-016,Levulinates from Lignocellulose as Bio-based Additives for Plastics (LevuLig),Dr.-Ing. Jakob Köchermann,Advanced Bio,"Chemicals, Fine Chemicals, Additives"
Fraunhofer,FH-017,Biosensor-Integrated 3D-Printed Microfluidic Tumor-on-a-Chip Systems as an Alternative to Preclinical Animal Testing,Dr. Eng. Hadi Bakhshi,Advanced Bio,"BioㆍMedical, BioㆍMedical, Therapeutic Devices, & Diagnostic Devices, Clinical Chemistry &, Biological Analysis, Instruments, Medical Bio, Bio-Artificial Organs"
Fraunhofer,FH-018,Bio-Based Phenolic Antioxidants as Sustainable Alternatives to 6PPD in Rubber Applications,Dr.-Ing. Roland Klein,Advanced Bio,"MechanicalㆍMaterials, Chemicals, Clean Production, Hazardous Raw/Sub-, Materials Substitution, Technologies, Fine Chemicals, Additives"
Fraunhofer,FH-019,Biopolymers for long-term use with controlled end-of-life,Roland Klein,Advanced Bio,"Chemicals, Energy & Resources, Polymeric Materials, Materials for, Energy/Environmental, Industries, Industrial Biotechnology, Bio-plastics"
Fraunhofer,FH-020,In silico technologies for virtual trials of shoulder endoprostheses using realistic virtual human models,Dr. Okan Avci,Advanced Bio,"Advanced Bio, Advanced Bio, Bio-processes / Bio-, Equipment, Bio-engineering, Technologies, Functional Restoration /, Assistive & Welfare, Devices, Implants"
Fraunhofer,FH-021,Sb2O3-free flame-retardant synergists for polymers,Michael Grosshauser,Advanced Bio,"Chemicals, Chemicals, Polymeric Materials, Special Functional Materials, Fine Chemicals, Additives"
Fraunhofer,FH-022,"Material and test technologies for innovative, additively manufactured removable dental appliances",Andreas Kiesow,Advanced Bio,"Chemicals, Knowledge Services, Polymeric materials, Materials for medical, applications, R&D/ Engineering Services, Testing / Inspection/, Analysis technique"
Fraunhofer,FH-023,"Oxyimide-based, halogen-free flame retardants (including phosphorus-functional variants)",Michael Grosshauser,"Advanced Bio, Advanced Mobility, Advanced Bio","Advanced Mobility (Chemicals), Advanced Bio (Chemicals), Polymeric Materials, Special Functional Materials, Fine Chemicals, Chemical/Bio Functional, Materials"
Fraunhofer,FH-024,Development of an AI based All-in-One Solid-Phase Photonic PCR Platform for Companion Animal Disease Diagnostics,apl. Prof. Dr.-Ing. Natalia Beshchasna,Advanced Bio,"Bio ㆍ Medical, ElectricalㆍElectronics, Therapeutic Devices, and, Diagnostic Devices, Molecular Genetic Diagnostic, Devices, Measuring Instruments, Measurement Sensors and, Components"
Fraunhofer,FH-025,Core Platform Technology for Inkjet-Printed Stretchable Electrodes and Skin-Conformal Biosensors for Digital Healthcare and Medical Wearables,Dr. Yohan Kim,Advanced Bio,"Bio and Medicine, Chemicals, Functional, restoration/assistance, and welfare equipments, & devices, Medical-purpose, materials, 500505, High polymer materials, Medical material, technology, 400205"
Fraunhofer,FH-026,Plasmonic sensor for on-site detection of chemical and microbiological pollutants in process water,Dr. Christiane Schuster,Advanced Bio,"Chemicals, Medical, Water/Soil, Environmental Facility, Technologies, Industrial Biotechnology, Bio-based, Agricultur/Livestock/Aqu, atic Preparations"
Fraunhofer,FH-027,A fermentation and extrusion technology for sustainable alternative seafood products from yeast biomass,Wegat,Advanced Bio,"Bio·Medical, Bio·Medical, Industrial, Biotechnology, Bio-process Technologies, Industrial, Biotechnology, Functional Food, Ingredients"
Fraunhofer,FH-028,"Miniaturized, Cost-Effective and High-Performance Bio-Medical Joined Communication and Radar Sensing System for Autonomous, Contactless, Continuous, and Real-Time Vital Signs Monitoring and Wireless",Uwe Maaß,Advanced Bio,Bio/Medical Mechanical / Materials Therapeutic Devices and Diagnostic Devices Bio-signal Measurements / Diagnostic Devices Automotive/Rail Vehicles Safety Improvement Technologies Functional  Restoration / Assistive & Welfare Devices Daily Living Support Devices and Systems Medical Information & Systems Remote and Home Health Care Devices
Fraunhofer,FH-029,Carbon‑Based Anodes for Low‑Cost Anodic Electrochemical Production of Hydrogen Peroxide (H₂O₂),Luciana Vieira,"Advanced Bio, Hydrogen","Chemicals, Energy & Resources, Chemical Processes, Process System, Technologie, Greenhouse Gas, Processing, Non-CO2 Processing, Technologies"
Fraunhofer,FH-030,In-situ Product Removal for Higher Productivity in Bio-based Organic Acid Fermentation,Pamina Mainz,Advanced Bio,"Bio Medical, Bio Medical, Bio-processes/, Bio-, Equipment, Bio-process Technologies Industrial Biotechnology Bio-Chemical Materials, (TIPA: Korea Technology and Information Promotion Agency for SMEs), (max 10 pages), 2"
Fraunhofer,FH-031,"AktiMeter Is a Camera based techonology that allows detecting human activities, intentions, driver states and interactions in vehicle cabin (driving and non-driving) and in assembly",Frederik Diederichs,"Advanced Mobility, Advanced Robotics & Manufacturing",Electronics Knowledge Services Measuring Instruments Optical Measuring Instruments R&D / Engineering Services Testing / Inspection / Analysis Techniques
Fraunhofer,FH-032,Thermoplastic pultrusion technology for industrial-scale production of recyclable continous fiber-reinforced composites,Maximilian Rieger,"Semiconductor/Display, Advanced Mobility","Machinery-materials, Chemicals, Automobile / railway, vehicles, Body & lightweight, technology, Fiber material, Fiber-reinforced composite, material"
Fraunhofer,FH-033,Advanced thermal bending technology for fiber-reinforced thermoplastic structures,Maximilian Rieger,Advanced Mobility,"Machinery-materials, Chemicals, Automobile / railway, vehicles, Body & lightweight, technology, Fiber material, Fiber-reinforced composite, material"
Fraunhofer,FH-034,"Optical device technology based on double-sided maskless irregular microlens arrays for compact headlight, ground-projection and other illumination systems",Danz,"Semiconductor/Display, Advanced Mobility","ElectricalㆍElectronics, ElectricalㆍElectronics, Optical Application, Devices, Optical Devices, Home Appliances and, Electronic Application, Devices, Lighting Devices"
Fraunhofer,FH-035,"Ultra‑Thin Flat Loudspeaker Solutions for Lightweight, Space‑Saving and Highly Design‑Flexible Audio Systems in Cars, Trains, Aircraft and Ships",Daniel Beer,"Advanced Mobility, Next-gen Communication","Electronica • Electronics, Imagine/Audio Devices, Speakers, Car Audio, Systems"
Fraunhofer,FH-036,A technology that allows maintaining temperature fluctuations within a range of ±3℃.,Matthias Fahland,"Advanced Mobility, Advanced Robotics & Manufacturing","Chemicals, Electrical / Electronics, Polymeric materials, Nanomaterial technology, Measuring instruments, Measuring sensors and, components"
